"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 03 00:01:31 GMT 2025","Sat May 03 00:01:31 GMT 2025","388","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Sat May 03 00:01:28 GMT 2025","Sat May 03 00:01:29 GMT 2025","1158","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Sat May 03 00:01:27 GMT 2025","Sat May 03 00:01:28 GMT 2025","1081","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Sat May 03 00:01:35 GMT 2025","Sat May 03 00:01:37 GMT 2025","1288","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Sat May 03 00:00:57 GMT 2025","Sat May 03 00:01:10 GMT 2025","13083","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Sat May 03 00:01:38 GMT 2025","Sat May 03 00:01:39 GMT 2025","728","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Sat May 03 00:01:35 GMT 2025","Sat May 03 00:01:35 GMT 2025","652","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Sat May 03 00:01:39 GMT 2025","Sat May 03 00:01:40 GMT 2025","1013","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Sat May 03 00:01:20 GMT 2025","Sat May 03 00:01:25 GMT 2025","4612","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Sat May 03 00:01:30 GMT 2025","Sat May 03 00:01:31 GMT 2025","735","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Sat May 03 00:01:25 GMT 2025","Sat May 03 00:01:27 GMT 2025","1779","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Sat May 03 00:01:39 GMT 2025","Sat May 03 00:01:39 GMT 2025","493","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Sat May 03 00:01:29 GMT 2025","Sat May 03 00:01:30 GMT 2025","840","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Sat May 03 00:01:10 GMT 2025","Sat May 03 00:01:17 GMT 2025","6190","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Sat May 03 00:01:17 GMT 2025","Sat May 03 00:01:18 GMT 2025","304","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Sat May 03 00:01:31 GMT 2025","Sat May 03 00:01:32 GMT 2025","974","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Sat May 03 00:01:17 GMT 2025","Sat May 03 00:01:17 GMT 2025","633","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Sat May 03 00:01:31 GMT 2025","Sat May 03 00:01:31 GMT 2025","378","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Sat May 03 00:01:37 GMT 2025","Sat May 03 00:01:38 GMT 2025","990","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Sat May 03 00:01:38 GMT 2025","Sat May 03 00:01:38 GMT 2025","602","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
